variant,benchmark,input_value,input_metric,phase,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,125,n,verify,0.052000,0.053000,0.054000,s
32-reg,collatz,130,n,decode,0.193000,0.195000,0.205000,s
32-reg,collatz,130,n,trace,0.070000,0.071000,0.071000,s
32-reg,collatz,130,n,preprocess,2.157000,2.181000,2.320000,s
32-reg,collatz,130,n,prove,0.652000,0.656000,0.661000,s
32-reg,collatz,130,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,135,n,decode,0.193000,0.194000,0.198000,s
32-reg,collatz,135,n,trace,0.071000,0.071000,0.072000,s
32-reg,collatz,135,n,preprocess,2.162000,2.196000,2.290000,s
32-reg,collatz,135,n,prove,0.660000,0.665000,0.667000,s
32-reg,collatz,135,n,verify,0.051000,0.053000,0.054000,s
32-reg,collatz,140,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,140,n,trace,0.070000,0.070000,0.071000,s
