variant,benchmark,input_value,input_metric,group,name,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,11,n,prove,spartan,0.035000,0.035000,0.037000,s
32-reg,collatz,11,n,prove,openings,0.185000,0.189000,0.192000,s
32-reg,collatz,11,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,11,n,verify,instruction_lookups,0.014000,0.014000,0.015000,s
32-reg,collatz,11,n,verify,memory,0.009000,0.010000,0.010000,s
32-reg,collatz,12,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,12,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,preprocess,setup,2.490000,2.517000,2.711000,s
32-reg,collatz,12,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,prove,il_wit,0.004000,0.004000,0.004000,s
32-reg,collatz,12,n,prove,rwm_wit,0.001000,0.001000,0.002000,s
32-reg,collatz,12,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,12,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,12,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,12,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,12,n,prove,commit,0.016000,0.017000,0.017000,s
32-reg,collatz,12,n,prove,bytecode,0.012000,0.012000,0.012000,s
32-reg,collatz,12,n,prove,il,0.316000,0.320000,0.325000,s
32-reg,collatz,12,n,prove,rwm,0.067000,0.067000,0.071000,s
32-reg,collatz,12,n,prove,spartan,0.034000,0.035000,0.036000,s
32-reg,collatz,12,n,prove,openings,0.186000,0.190000,0.191000,s
32-reg,collatz,12,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,12,n,verify,instruction_lookups,0.014000,0.014000,0.015000,s
32-reg,collatz,12,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,13,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,13,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,preprocess,setup,2.502000,2.547000,2.677000,s
32-reg,collatz,13,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,13,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,13,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,13,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,13,n,prove,r1cs_polys,0.006000,0.006000,0.006000,s
32-reg,collatz,13,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,13,n,prove,commit,0.015000,0.017000,0.019000,s
32-reg,collatz,13,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,13,n,prove,il,0.312000,0.319000,0.326000,s
32-reg,collatz,13,n,prove,rwm,0.065000,0.067000,0.069000,s
32-reg,collatz,13,n,prove,spartan,0.034000,0.034000,0.035000,s
32-reg,collatz,13,n,prove,openings,0.185000,0.187000,0.191000,s
32-reg,collatz,13,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,13,n,verify,instruction_lookups,0.013000,0.014000,0.014000,s
32-reg,collatz,13,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,14,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,14,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,preprocess,setup,2.520000,2.571000,2.612000,s
32-reg,collatz,14,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,prove,il_wit,0.003000,0.004000,0.005000,s
32-reg,collatz,14,n,prove,rwm_wit,0.001000,0.001000,0.002000,s
32-reg,collatz,14,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,14,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,14,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,14,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,14,n,prove,commit,0.017000,0.018000,0.019000,s
32-reg,collatz,14,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,14,n,prove,il,0.314000,0.321000,0.326000,s
32-reg,collatz,14,n,prove,rwm,0.065000,0.067000,0.070000,s
32-reg,collatz,14,n,prove,spartan,0.036000,0.037000,0.039000,s
32-reg,collatz,14,n,prove,openings,0.183000,0.187000,0.193000,s
32-reg,collatz,14,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,14,n,verify,instruction_lookups,0.013000,0.014000,0.015000,s
32-reg,collatz,14,n,verify,memory,0.009000,0.009000,0.011000,s
32-reg,collatz,15,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,15,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,preprocess,setup,2.541000,2.572000,2.631000,s
32-reg,collatz,15,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,15,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,15,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,15,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,15,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,15,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,15,n,prove,commit,0.017000,0.018000,0.019000,s
32-reg,collatz,15,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,15,n,prove,il,0.317000,0.322000,0.327000,s
32-reg,collatz,15,n,prove,rwm,0.065000,0.068000,0.069000,s
32-reg,collatz,15,n,prove,spartan,0.036000,0.037000,0.038000,s
32-reg,collatz,15,n,prove,openings,0.185000,0.188000,0.191000,s
32-reg,collatz,15,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,15,n,verify,instruction_lookups,0.014000,0.014000,0.015000,s
32-reg,collatz,15,n,verify,memory,0.009000,0.009000,0.011000,s
32-reg,collatz,16,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,16,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,preprocess,setup,2.539000,2.577000,2.673000,s
32-reg,collatz,16,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,16,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,16,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,16,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,16,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,16,n,prove,r1cs_aux,0.000000,0.001000,0.002000,s
32-reg,collatz,16,n,prove,commit,0.014000,0.015000,0.016000,s
32-reg,collatz,16,n,prove,bytecode,0.010000,0.011000,0.011000,s
32-reg,collatz,16,n,prove,il,0.308000,0.311000,0.313000,s
32-reg,collatz,16,n,prove,rwm,0.062000,0.063000,0.065000,s
32-reg,collatz,16,n,prove,spartan,0.024000,0.024000,0.024000,s
32-reg,collatz,16,n,prove,openings,0.185000,0.187000,0.195000,s
32-reg,collatz,16,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,16,n,verify,instruction_lookups,0.014000,0.014000,0.014000,s
32-reg,collatz,16,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,17,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,17,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,17,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,17,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
