variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,180,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,180,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,180,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,185,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,185,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,185,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,190,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,190,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,190,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,195,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,195,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,195,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,200,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,200,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,200,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,210,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,210,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,210,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,220,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,220,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,220,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,230,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,230,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,230,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,240,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,240,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,240,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,250,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,250,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,250,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,500,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,500,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,500,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,750,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,750,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,750,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,1000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,1000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,1000,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,2000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,2000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,2000,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,3000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,3000,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,3000,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,4000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,4000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,4000,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,5000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,5000,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,5000,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,6000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,6000,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,6000,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,7000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,7000,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,7000,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,8000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,8000,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,8000,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,9000,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,9000,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,9000,n,total,0.147000,0.147000,0.147000,MB
